date	STCK
05/04/2019 00:00	176.98
08/04/2019 00:00	175.21
09/04/2019 00:00	175.6
10/04/2019 00:00	178.25
11/04/2019 00:00	178
12/04/2019 00:00	178.1
15/04/2019 00:00	178.6
16/04/2019 00:00	179
17/04/2019 00:00	179.6
18/04/2019 00:00	178.8
22/04/2019 00:00	178.27
23/04/2019 00:00	182.48
24/04/2019 00:00	184.49
25/04/2019 00:00	196.84
26/04/2019 00:00	192
29/04/2019 00:00	190.95
30/04/2019 00:00	194.29
01/05/2019 00:00	194.78
02/05/2019 00:00	193
03/05/2019 00:00	194.38
06/05/2019 00:00	191
07/05/2019 00:00	192.54
08/05/2019 00:00	189.39
09/05/2019 00:00	186.91
10/05/2019 00:00	188.25
13/05/2019 00:00	183.5
14/05/2019 00:00	180.73
15/05/2019 00:00	180.08
16/05/2019 00:00	185.18
17/05/2019 00:00	184.86
20/05/2019 00:00	11.76
21/05/2019 00:00	184.57
22/05/2019 00:00	184.5
23/05/2019 00:00	182.42
24/05/2019 00:00	182.32
28/05/2019 00:00	181.54
29/05/2019 00:00	183.64
30/05/2019 00:00	183.08
31/05/2019 00:00	180.28
03/06/2019 00:00	175
04/06/2019 00:00	163.81
05/06/2019 00:00	167.49
06/06/2019 00:00	168.3
07/06/2019 00:00	169.97
10/06/2019 00:00	174.54
11/06/2019 00:00	178.77
12/06/2019 00:00	178.65
13/06/2019 00:00	175.53
14/06/2019 00:00	181.33
17/06/2019 00:00	185
18/06/2019 00:00	194.15
19/06/2019 00:00	187
20/06/2019 00:00	191
21/06/2019 00:00	189.02
24/06/2019 00:00	192.23
25/06/2019 00:00	192.88
26/06/2019 00:00	189.54
27/06/2019 00:00	189.88
28/06/2019 00:00	190.55
01/07/2019 00:00	195.14
02/07/2019 00:00	193
03/07/2019 00:00	194.29
05/07/2019 00:00	196.07
08/07/2019 00:00	195.19
09/07/2019 00:00	195.14
10/07/2019 00:00	200
11/07/2019 00:00	203.12
12/07/2019 00:00	199.67
15/07/2019 00:00	204.25
16/07/2019 00:00	203.8
17/07/2019 00:00	204.18
18/07/2019 00:00	200.15
19/07/2019 00:00	202.18
22/07/2019 00:00	48.38
23/07/2019 00:00	202.8
24/07/2019 00:00	197.66
25/07/2019 00:00	206.6
26/07/2019 00:00	200.19
29/07/2019 00:00	199.07
30/07/2019 00:00	194.78
31/07/2019 00:00	196.84
01/08/2019 00:00	194.23
02/08/2019 00:00	191.09
05/08/2019 00:00	184.63
06/08/2019 00:00	183.69
07/08/2019 00:00	183.53
08/08/2019 00:00	186.64
09/08/2019 00:00	190
12/08/2019 00:00	186.85
13/08/2019 00:00	188.45
14/08/2019 00:00	185.85
15/08/2019 00:00	180.95
16/08/2019 00:00	183.75
19/08/2019 00:00	185.81
20/08/2019 00:00	185.45
21/08/2019 00:00	185
22/08/2019 00:00	183.44
23/08/2019 00:00	180.84
26/08/2019 00:00	179.44
27/08/2019 00:00	181.93
28/08/2019 00:00	181.76
29/08/2019 00:00	183.96
30/08/2019 00:00	186.78
03/09/2019 00:00	184.12
04/09/2019 00:00	184.76
05/09/2019 00:00	188.72
06/09/2019 00:00	190.21
09/09/2019 00:00	187.73
10/09/2019 00:00	187.44
11/09/2019 00:00	186.46
12/09/2019 00:00	189.85
13/09/2019 00:00	187.5
16/09/2019 00:00	186.93
17/09/2019 00:00	186.66
18/09/2019 00:00	188.09
19/09/2019 00:00	188.66
20/09/2019 00:00	190.8
23/09/2019 00:00	189.44
24/09/2019 00:00	188
25/09/2019 00:00	181.45
26/09/2019 00:00	181.02
27/09/2019 00:00	180.5
30/09/2019 00:00	177.9
01/10/2019 00:00	179.2
02/10/2019 00:00	174.84
03/10/2019 00:00	175.43
04/10/2019 00:00	179.37
07/10/2019 00:00	180.15
08/10/2019 00:00	178.26
09/10/2019 00:00	179.16
10/10/2019 00:00	180.39
11/10/2019 00:00	182.15
15/10/2019 00:00	183.8
16/10/2019 00:00	188.34
17/10/2019 00:00	190.3
18/10/2019 00:00	190.3
21/10/2019 00:00	187.04
22/10/2019 00:00	190
23/10/2019 00:00	182.1
24/10/2019 00:00	184.87
25/10/2019 00:00	185.83
28/10/2019 00:00	187.2
29/10/2019 00:00	191.5
30/10/2019 00:00	190.07
31/10/2019 00:00	196.6
01/11/2019 00:00	193
04/11/2019 00:00	194.48
05/11/2019 00:00	195.37
06/11/2019 00:00	194.03
07/11/2019 00:00	191.81
08/11/2019 00:00	189.87
11/11/2019 00:00	189.61
12/11/2019 00:00	190
13/11/2019 00:00	194.93
14/11/2019 00:00	192.93
15/11/2019 00:00	194.4
18/11/2019 00:00	195.06
19/11/2019 00:00	197.4
20/11/2019 00:00	198.58
21/11/2019 00:00	197.34
22/11/2019 00:00	198.28
25/11/2019 00:00	199.48
26/11/2019 00:00	200.01
27/11/2019 00:00	199.9
29/11/2019 00:00	201.44
02/12/2019 00:00	202
03/12/2019 00:00	198.82
04/12/2019 00:00	200
05/12/2019 00:00	200
06/12/2019 00:00	200.5
09/12/2019 00:00	200.7
10/12/2019 00:00	201.57
11/12/2019 00:00	200.47
12/12/2019 00:00	202.35
13/12/2019 00:00	196.4
16/12/2019 00:00	195
17/12/2019 00:00	198.93
18/12/2019 00:00	202.5
19/12/2019 00:00	206.06
20/12/2019 00:00	207.19
23/12/2019 00:00	206.7
24/12/2019 00:00	206.3
26/12/2019 00:00	205.53
27/12/2019 00:00	208.32
30/12/2019 00:00	207.86
31/12/2019 00:00	205.25
02/01/2020 00:00	206.75
03/01/2020 00:00	207.24
06/01/2020 00:00	206.72
07/01/2020 00:00	212.85
08/01/2020 00:00	215.22
09/01/2020 00:00	217.54
